Titre,Artistes
WHERE IS MY HUSBAND! - Remix,"RAYE, David Guetta, Hypaton"
heureux,Heroe
Bloom Again,Nu Aspect
Numb,Elderbrook
"Love Like a Sunset, Pt. I",Phoenix
Options,"Sonny Wern, HUTS"
Ready or Not Here I Come (Can't Hide from Love),The Delfonics
Breathe,"Seeb, Neev"
My Kingdom - William Black Remix,"Evangeline, William Black"
War,Edwin Starr
Souvenirs,van
Amnésie,Nhyx
feelings don't lie,"Ofenbach, salem ilese"
Release Yourself,"HUTS, Ryan Spicer"
Las vegas,Jok'air
Time for Disco,Concrete Knives
All My Life,"Purple Disco Machine, The Magician"
Echoes,"Sonny Wern, R2"
(Hope I Don't) Fall,"HUTS, Teddy Bee"
Lose My Mind (feat. Doja Cat),"Don Toliver, Doja Cat"
Giving It All,"HUTS, Ripstar"
Rock That Body,Black Eyed Peas
Run,OneRepublic
Run (feat. Ragdoll),"Henri PFR, Ragdoll"
Euphoria,Loreen
Une jolie fille,TheFrenchKris
Summer Sun,.zip
Sacred Feathers,"Parra for Cuva, Senoy"
Photomaton,"Jabberwocky, Elodie Wildstars"
F.A.C.E,Guilt
Sur la lune,Bigflo & Oli
La Fin Du Monde,Sam Sauvage
Metro-North,Schur
Parachute,Paul Kalkbrenner
Glorious Morning,Waterflame
God Moving Over the Face of the Waters,Moby
Woodland,Laurel Violet
Cooler Than Me - Single Mix,"Mike Posner, Gigamesh"
Moon (And It Went Like),"Kid Francescoli, Julia Minkin"
Que tout s'danse,Noé Preszow
Caravane,Raphaël
Transatlantique,Therapie TAXI
Meet Me Halfway,Black Eyed Peas
Aloha,"Møme, Merryn Jeann"
Sonnentanz - Sun Don't Shine,"Klangkarussell, Will Heard"
Blind (feat. Emmi) - Radio Edit,"Feder, Emmi"
Oysters In My Pocket,Royel Otis
Breath of Roma,Meryem Aboulouafa
Sirens Call,Cats On Trees
Write a Song,Colt
Si seulement,2TH
Hometown (intro),French 79
MEMORY,"Alex LeMirage, Fi Sullivan"
Magic Moments,Perry Como
Reckless - Gareth Emery & Luke Bond Remix,"Gareth Emery, Wayward Daughter, Luke Bond"
This is What Winter Feels Like - Instrumental Version,Marce Music
Sweet Disposition,Feeling Blew
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee"
ghost (feat. HUMAN),"Aaron Hibell, HUMAN"
Bourgeoisieses,Conan Gray
You Were Bigger Than Life,Shook
Monsters,Laurent Iacomucci
Born With a Broken Heart,Damiano David
Pathos,Ludovico Einaudi
Disco Nap,"Polo & Pan, Metronomy"
Le trésor,Jérôme Rebotier
Higher,Victor Le Masne
Sleepless,"AVAION, PaulWetz, Nu Aspect, YUMA"
Heartbeat,Childish Gambino
The Sweet Escape,"Gwen Stefani, Akon"
Hoe Down,"Joey Myron, Lucky Dog"
Drowning Love // Kou wo OiKakete - Chasing Kou (Piano Cover),emptiness
Leave A Little Love,"Alesso, Armin van Buuren"
Odyssée,Leonem
You & Me - Flume Remix,"Disclosure, Eliza Doolittle, Flume"
Heroes (we could be),"Alesso, Tove Lo"
Heroes,Gang of Youths
Running With The Wolves,AURORA
Hey Now - feat. KYLE,"Martin Solveig, The Cataracs, KYLE"
Wire & Flashing Lights,Professor Kliq
Punching In A Dream,The Naked And Famous
The Birth and Death of the Day,Explosions In The Sky
Midnight City,M83
Friday Night‬‬‬,Vigiland
Freefall,Zak Rush
For A Better Day,Avicii
Can't Stop Me Now,Oh The Larceny
Distance,"Apashe, Geoffroy"
Where Them Girls At (feat. Nicki Minaj & Flo Rida),"David Guetta, Flo Rida, Nicki Minaj"
On a Friday Night,Phake
Struck Gold,Plastic Harpoons
Good Morning,Kanye West
Africa,TOTO
Ouverture,Leblanc
Angels,Robbie Williams
Help Me Lose My Mind,Gravagerz
Easy Love,Sigala
Last Song (feat. Faouzia),"Alan Walker, Faouzia"
Avalon,"Alan Walker, Anne Gudrun"
Creator Circle,Alan Walker
Beautiful Lies - Sped Up,Alex Robbins
Icarus,ASTOR
Fall Apart,Dayne S
Na Mara,Steven Gutheinz
Sadnecessary,Milky Chance
Albert rejoint Haydée,Jérôme Rebotier
Endless Hills,Slumbernaut
Capital,M'Dezoen
"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse","Antonín Dvořák, Prague Chamber Orchestra, Petr Skvor"
Another Run Around the Sun,Slumbernaut
Prologue,John Williams
Good Lie,"Sonny Wern, Felix Samuel"
"Dear Maria, Count Me In",All Time Low
Time To Say Goodbye,"Andrea Bocelli, Sarah Brightman"
Wurli,AUST
Monster,"Don Diablo, Felix Jaehn"
I'll Fly With You (L'Amour Toujours),"Jovani, Chris Crone"
Cynical,"twocolors, Safri Duo, Chris de Sarandy"
Roi,"Videoclub, Adèle Castillon, Mattyeux"
Adulto funcional,Carrera Blanca
Christmas Treat,Julian Casablancas
Le Même Que Moi,"Gary Fico, Leo Rispal"
Idea 1,Gibran Alcocer
Fine Line Instrumental - Sped Up,Kapa Boy
World Gone Wild (feat. Sam Martin),"Robin Schulz, CYRIL, Sam Martin"
Secrets,OneRepublic
Overdrive (Alive),"HUTS, Lyente, Danimal, Blair"
The Reason,Hoobastank
Love The Way You Lie (feat. Norma Jean Martine),"Jax Jones, Azteck, Norma Jean Martine"
That’s So True,Gracie Abrams
Never Going Home Tonight (feat. Madison Love),"David Guetta, Alesso, Madison Love"
Don't Matter,Derik Fein
Melody,"Lost Frequencies, James Blunt"
that’s so true - sped up,bbygirl
Tongue Tied,GROUPLOVE
Coffee,Sylvan Esso
Crystal Dreams,Lowx
Recommence-moi,SANTA
First,Cold War Kids
Solo,Future
Draft Punk Beat,Celestial Harmonies Tracks
Samothrace,Michael Canitrot
Wouldn't It Be Nice,The Beach Boys
Everywhere - 2017 Remaster,Fleetwood Mac
"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel
Hallelujah,Pentatonix
Shield,"WEARETHEGOOD, Lynnea"
When I Go,Keaton Simons
Black Hole,Stephen Keech
Quand je marche,Ben Mazué
Don't Worry (with Ray Dalton) - Radio Edit,"Madcon, Ray Dalton"
Million Voices,Otto Knows
